2021-11-14 19:13:34.790  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Into Method Add Department! 
2021-11-14 19:13:34.799  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Department added! 
2021-11-14 19:13:34.807  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Into Method Update Department! 
2021-11-14 19:13:34.814  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Department Updated! 
2021-11-14 19:13:34.819  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Searching department ...
2021-11-14 19:13:34.850  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Department tn.esprit.spring.entities.Departement@3445ddf2 found
2021-11-14 19:13:34.856  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : In method Retrrieve Departements!
2021-11-14 19:13:34.898  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Connexion a la base de donnée effectuée! 
2021-11-14 19:13:34.898  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@6ce24203
2021-11-14 19:13:34.898  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@4cc28ad0
2021-11-14 19:13:34.898  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@29811d4d
2021-11-14 19:13:34.898  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@28f081ad
2021-11-14 19:13:34.898  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@56fc2cea
2021-11-14 19:13:34.898  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@e30a8ef
2021-11-14 19:13:34.898  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@2ffaa711
2021-11-14 19:13:34.898  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@3abb6aa
2021-11-14 19:13:34.898  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@34074149
2021-11-14 19:13:34.899  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@3f7bf0f6
2021-11-14 19:13:34.899  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@45430a27
2021-11-14 19:13:34.899  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@1b83fac3
2021-11-14 19:13:34.899  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@28d37d43
2021-11-14 19:13:34.899  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@2c02cf78
2021-11-14 19:13:34.899  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@3e7fc07e
2021-11-14 19:13:34.899  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@29ebaf2f
2021-11-14 19:13:34.899  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@1a61f634
2021-11-14 19:13:34.900  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@20a2930f
2021-11-14 19:13:34.900  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@609edb55
2021-11-14 19:13:34.900  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@147892be
2021-11-14 19:13:34.900  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@13d1653
2021-11-14 19:13:34.900  INFO 29989 --- [main] t.e.s.s.D.DepartementServiceImpl         : Departement tn.esprit.spring.entities.Departement@3533d790
